,Internet,Email,Blog,WebBanner,Promotional,SmartPhone,Sales
6,57.5,32.8,23.5,57.5,32.8,23.5,11.8
7,120.2,19.6,11.6,120.2,19.6,11.6,13.2
8,8.6,2.1,1.0,8.6,2.1,1.0,4.8
9,199.8,2.6,21.2,199.8,2.6,21.2,10.6
10,66.1,5.8,24.2,66.1,5.8,24.2,8.6
11,214.7,24.0,4.0,214.7,24.0,4.0,17.4
13,97.5,7.6,7.2,97.5,7.6,7.2,9.7
14,204.1,32.9,46.0,204.1,32.9,46.0,19.0
16,67.8,36.6,32.445,67.8,36.6,32.445,12.5
18,69.2,20.5,18.3,69.2,20.5,18.3,11.3
19,147.3,23.9,19.1,147.3,23.9,19.1,14.6
20,218.4,27.7,53.4,218.4,27.7,53.4,18.0
21,237.4,5.1,23.5,237.4,5.1,23.5,12.5
22,13.2,15.9,49.6,13.2,15.9,49.6,5.6
23,228.3,16.9,26.2,228.3,16.9,26.2,15.5
24,62.3,12.6,18.3,62.3,12.6,18.3,9.7
26,142.9,29.3,12.6,142.9,29.3,12.6,15.0
27,240.1,16.7,22.9,240.1,16.7,22.9,15.9
28,248.8,27.1,22.9,248.8,27.1,22.9,18.9
29,70.6,16.0,40.8,70.6,16.0,40.8,10.5
31,112.9,17.4,38.6,112.9,17.4,38.6,11.9
32,97.2,1.5,30.0,97.2,1.5,30.0,9.6
34,95.7,1.4,7.4,95.7,1.4,7.4,9.5
38,43.1,26.7,35.1,43.1,26.7,35.1,10.1
40,202.5,22.3,31.6,202.5,22.3,31.6,16.6
41,177.0,33.4,38.7,177.0,33.4,38.7,17.1
43,206.9,8.4,26.4,206.9,8.4,26.4,12.9
44,25.1,25.7,43.3,25.1,25.7,43.3,8.5
45,175.1,22.5,31.5,175.1,22.5,31.5,14.9
46,89.7,9.9,35.7,89.7,9.9,35.7,10.6
48,227.2,15.8,49.9,227.2,15.8,49.9,14.8
49,66.9,11.7,36.8,66.9,11.7,36.8,9.7
50,199.8,3.1,34.6,199.8,3.1,34.6,11.4
51,100.4,9.6,3.6,100.4,9.6,3.6,10.7
56,7.3,28.1,41.4,7.3,28.1,41.4,5.5
57,136.2,19.2,16.6,136.2,19.2,16.6,13.2
59,210.7,29.5,9.3,210.7,29.5,9.3,18.4
60,53.5,2.0,21.4,53.5,2.0,21.4,8.1
62,239.3,15.5,27.3,239.3,15.5,27.3,15.7
63,102.7,29.6,8.4,102.7,29.6,8.4,14.0
65,69.0,9.3,0.9,69.0,9.3,0.9,9.3
66,31.5,24.6,2.2,31.5,24.6,2.2,9.5
67,139.3,14.5,10.2,139.3,14.5,10.2,13.4
68,237.4,27.5,11.0,237.4,27.5,11.0,18.9
70,199.1,30.6,38.7,199.1,30.6,38.7,18.3
71,109.8,14.3,31.7,109.8,14.3,31.7,12.4
72,26.8,33.0,19.3,26.8,33.0,19.3,8.8
73,129.4,5.7,31.3,129.4,5.7,31.3,11.0
74,213.4,24.6,13.1,213.4,24.6,13.1,17.0
76,27.5,1.6,20.7,27.5,1.6,20.7,6.9
77,120.5,28.5,14.2,120.5,28.5,14.2,14.2
78,5.4,29.9,9.4,5.4,29.9,9.4,5.3
79,116.0,7.7,23.1,116.0,7.7,23.1,11.0
80,76.4,26.7,22.3,76.4,26.7,22.3,11.8
81,239.8,4.1,36.9,239.8,4.1,36.9,12.3
82,75.3,20.3,32.5,75.3,20.3,32.5,11.3
86,76.3,27.5,16.0,76.3,27.5,16.0,12.0
90,134.3,4.9,9.3,134.3,4.9,9.3,11.2
